Abies alba,European Silver-fir
Abies cephalonica,Greek Fir
Abies cilicica,Cilician Fir
Abies concolor,Colorado White-fir
Abies delavayi,Delavay's Silver-fir
Abies firma,Momi Fir
Abies fraseri,Fraser Fir
Abies grandis,Giant Fir
Abies homolepis,Nikko Fir
Abies lasiocarpa,Subalpine Fir
Abies nordmanniana,Caucasian Fir
Abies pinsapo,Spanish Fir
Abies procera,Noble Fir
Abies veitchii,Veitch's Silver-fir
Abutilon malvifolium,
Abutilon pictum,Chinese-lantern
Abutilon theophrasti,Velvetleaf
Acacia falciformis,Hickory Wattle
Acacia melanoxylon,Australian Blackwood
Acacia micrantha,
Acaena anserinifolia,Bronze Pirri-pirri-bur
Acaena anserinifolia x inermis,
Acaena caesiiglauca,Glaucous Pirri-pirri-bur
Acaena hieronymi,
Acaena inermis,Spineless Acaena
Acaena magellanica,
Acaena microphylla,
Acaena novae-zelandiae,Pirri-pirri-bur
Acaena ovalifolia,Two-spined Acaena
Acaena ovina,Sheep's-bur
Acaena pinnatifida,
Acaena sericea,
Acaena splendens,
Acantholimon glumaceum,
Acanthospermum australe,Spiny-bur
Acanthospermum glabratum,
Acanthus mollis,Bear's-breech
Acanthus spinosus,Spiny Bear's-breech
Acer campestre,Field Maple
Acer cappadocicum,Cappadocian Maple
Acer heldreichii,Heldrich's Maple
Acer japonicum,Downy Japanese-maple
Acer macrophyllum,Oregon Maple
Acer monspessulanum,Montpellier Maple
Acer negundo,Ashleaf Maple
Acer palmatum,Smooth Japanese-maple
Acer platanoides,Norway Maple
Acer pseudoplatanus,Sycamore
Acer rubrum,Red Maple
Acer rufinerve,Grey-budded Snake-bark-maple
Acer saccharinum,Silver Maple
Acer saccharum,Sugar Maple
Acer tataricum,Tartar Maple
Acer truncatum,Shantung Maple
Aceras anthropophorum,Man Orchid
Achillea ageratum,Sweet Yarrow
Achillea alpina,
Achillea aspleniifolia,
Achillea cartilaginea,
Achillea cretica,Chamomile-leaved Lavender-cotton
Achillea crithmifolia,
Achillea decolorans,Serrated Yarrow
Achillea distans,Tall Yarrow
Achillea distans subsp. tanacetifolia,
Achillea filipendulina,Fern-leaf Yarrow
Achillea ligustica,Southern Yarrow
Achillea maritima,Cottonweed
Achillea micrantha,
Achillea millefolium,Yarrow
Achillea nobilis,
Achillea ochroleuca,
Achillea pannonica,
Achillea ptarmica,Sneezewort
Achillea santolina,
Achillea tomentosa,Yellow Milfoil
Achyranthes aspera,Chaff-flower
Aconitum angustifolium,
Aconitum carmichaelii,
Aconitum lycoctonum,Wolf's-bane
Aconitum lycoctonum subsp. vulparia,
Aconitum napellus,Monk's-hood
Aconitum napellus agg.,
Aconitum napellus subsp. firmum,
Aconitum napellus subsp. napellus,
Aconitum napellus subsp. vulgare,
Aconitum x cammarum,Hybrid Monk's-hood
Aconitum x stoerkianum,Hybrid Monk's-hood
Acorus calamus,Sweet-flag
Acorus gramineus,Slender Sweet-flag
Acroptilon repens,Russian Knapweed
Actaea erythrocarpa,
Actaea spicata,Baneberry
Adenocarpus complicatus,
Adiantum capillus-veneris,Maidenhair Fern
Adiantum pedatum,
Adonis aestivalis,Summer Pheasant's-eye
